H, N, 1496, N
C, N, 1423, N
M, N, 564, N
L, N, 602, N
F, N, 588, N
G, N, 536, N
X, N, 547, N
R, N, 393, N
R, T, 408, T
W, N, 506, N
J, N, 773, N
J, T, 607, T
M, N, 460, N
Q, N, 586, N
L, N, 679, N
D, N, 618, N
D, T, 478, T
D, T, 482, T
D, T, 466, T
Z, N, 479, N
M, N, 569, N
M, T, 527, T
V, N, 583, N
S, N, 740, N
S, T, 506, T
M, N, 738, N
M, T, 643, T
M, T, 666, T
F, N, 762, N
F, T, 714, T
X, N, 699, N
S, N, 742, N
S, T, 440, T
N, N, 632, N
B, N, 1221, N
T, N, 601, T
T, T, 623, T
J, N, 539, N
L, N, 566, N
F, N, 688, N
F, T, 631, T
F, T, 566, T
S, N, 545, N
F, N, 570, N
V, N, 778, N
L, N, 780, N
L, T, 458, T
G, N, 793, N
