P, N, 0, 0
P, T, 390, T
Z, N, 617, N
Z, T, 426, N
W, N, 562, T
X, N, 449, N
N, N, 451, N
Q, N, 483, N
Q, T, 622, T
R, N, 502, N
K, N, 529, N
W, N, 558, N
K, N, 511, N
X, N, 765, N
R, N, 542, N
R, T, 521, T
C, N, 539, N
S, N, 663, N
W, N, 524, N
T, N, 498, N
Z, N, 619, N
W, N, 788, N
M, N, 579, N
M, T, 543, T
X, N, 666, N
P, N, 780, N
D, N, 521, N
N, N, 459, N
N, T, 549, T
V, N, 410, N
H, N, 439, N
S, N, 464, N
S, T, 473, T
H, N, 447, N
J, N, 530, N
W, N, 482, N
M, N, 481, N
W, N, 422, N
P, N, 461, N
P, T, 428, T
T, N, 446, N
S, N, 554, N
S, T, 363, T
L, N, 431, N
D, N, 449, N
K, N, 454, N
K, T, 450, T
L, N, 420, N
