P, N, 1122, N
R, N, 1138, N
L, N, 928, N
W, N, 438, N
Z, N, 573, T
J, N, 1515, N
L, T, 1205, T
T, N, 700, N
C, N, 781, N
J, T, 1110, T
L, T, 1412, N
T, T, 1143, T
P, N, 702, N
X, N, 730, N
Y, N, 978, N
Z, N, 832, N
P, T, 634, T
H, N, 619, N
R, N, 767, N
Z, T, 981, T
P, T, 1156, N
H, T, 853, T
W, N, 766, N
T, N, 794, N
B, N, 646, N
L, N, 887, N
B, N, 1060, T
L, N, 902, N
V, N, 904, N
L, T, 940, T
N, N, 617, N
L, T, 1189, T
V, T, 912, T
N, N, 1001, T
N, T, 611, N
R, N, 687, N
V, T, 807, N
G, N, 482, N
H, N, 1334, N
F, N, 544, N
V, T, 605, T
G, T, 856, N
S, N, 623, N
M, N, 598, N
Q, N, 587, N
R, N, 472, N
G, N, 437, N
G, N, 988, N
