W, N, 0, 0
D, N, 0, 0
Q, N, 0, 0
V, N, 502, N
N, N, 726, N
K, N, 525, N
Z, N, 731, N
N, T, 457, T
F, N, 549, N
P, N, 630, N
K, N, 685, T
W, N, 478, N
P, T, 774, T
K, T, 509, N
R, N, 574, N
P, T, 843, T
D, N, 527, N
R, T, 706, N
P, T, 711, N
D, T, 655, T
R, T, 464, T
D, N, 480, N
C, N, 556, N
K, N, 529, N
D, T, 896, N
T, N, 918, N
P, N, 584, N
X, N, 546, N
T, T, 378, T
P, T, 432, T
X, T, 421, T
T, T, 411, T
T, N, 704, N
P, N, 768, N
T, T, 759, T
W, N, 603, N
P, T, 684, T
Z, N, 502, N
V, N, 409, N
M, N, 330, T
H, N, 450, N
N, N, 493, N
J, N, 410, N
H, T, 335, T
K, N, 500, N
V, N, 435, N
D, N, 512, N
K, T, 415, N
