C, N, 1739, N
J, N, 0, 0
C, T, 492, T
V, N, 791, N
D, N, 761, N
V, T, 806, T
Y, N, 927, T
D, N, 805, T
J, N, 954, T
D, T, 467, T
B, N, 425, N
D, T, 402, T
R, N, 834, N
T, N, 811, N
V, N, 750, N
T, T, 1255, T
P, N, 1421, N
C, N, 899, N
J, N, 769, N
T, N, 678, N
J, T, 664, T
T, T, 790, T
N, N, 872, N
V, N, 699, N
C, N, 694, T
V, T, 1062, T
C, T, 925, T
Y, N, 1276, N
F, N, 858, N
D, N, 677, T
F, T, 959, N
K, N, 735, N
T, N, 909, N
T, N, 786, T
T, T, 716, T
Z, N, 679, N
C, N, 1338, N
K, N, 832, N
Q, N, 725, N
L, N, 785, N
Q, T, 647, T
L, T, 756, T
G, N, 812, N
Q, N, 525, T
G, T, 828, T
M, N, 579, N
G, T, 1922, T
D, N, 724, N
