Z, N, 0, 0
N, N, 1283, N
D, N, 1132, N
Y, N, 717, N
Z, N, 624, N
B, N, 686, N
X, N, 591, N
V, N, 591, N
K, N, 783, N
F, N, 584, N
B, N, 559, N
F, T, 775, N
B, T, 524, T
F, T, 824, T
S, N, 666, N
F, T, 586, T
B, N, 794, N
L, N, 951, N
V, N, 579, N
L, T, 811, T
L, N, 779, N
T, N, 589, N
H, N, 627, N
R, N, 773, N
H, T, 618, T
R, T, 812, T
Z, N, 790, N
P, N, 0, 0
Z, T, 726, T
H, N, 584, N
R, N, 824, N
Z, N, 1080, T
D, N, 788, N
Z, T, 894, T
D, T, 801, T
H, N, 834, N
H, N, 875, N
K, N, 1930, N
H, T, 671, T
K, T, 1027, T
N, N, 859, N
W, N, 1507, N
P, N, 924, N
H, N, 634, N
V, N, 510, N
Q, N, 491, N
V, T, 517, T
Q, T, 710, N
