R, N, 0, 0
G, N, 0, 0
R, T, 423, T
V, N, 529, N
D, N, 743, N
V, T, 362, T
D, T, 576, T
F, N, 472, N
C, N, 648, N
F, T, 362, T
V, N, 585, N
F, T, 703, N
V, T, 587, N
H, N, 927, N
Y, N, 757, N
D, N, 621, N
C, N, 696, N
M, N, 595, N
W, N, 604, N
X, N, 498, N
W, T, 747, N
Y, N, 642, N
S, N, 515, N
J, N, 545, N
D, N, 474, N
R, N, 457, N
L, N, 558, N
W, N, 478, N
L, T, 579, N
Z, N, 484, N
J, N, 549, N
K, N, 941, N
M, N, 532, N
S, N, 579, N
J, N, 484, N
T, N, 515, N
B, N, 674, N
R, N, 452, N
B, T, 454, N
R, T, 1320, N
R, N, 1209, N
S, N, 676, N
R, T, 363, T
M, N, 571, N
R, T, 428, T
X, N, 530, N
R, T, 465, T
D, N, 460, N
