P, N, 0, 0
P, N, 0, 0
L, N, 0, 0
L, N, 0, 0
S, N, 539, N
T, N, 491, N
W, N, 326, N
L, T, 516, T
S, T, 451, T
T, T, 448, T
W, T, 518, T
L, T, 955, N
S, T, 924, N
T, T, 637, T
C, N, 576, N
L, T, 791, T
X, N, 545, N
P, N, 547, N
Q, N, 632, N
J, N, 731, N
M, N, 688, N
P, T, 1009, N
C, N, 864, N
W, N, 698, N
R, N, 539, N
X, N, 580, N
G, N, 663, N
W, T, 829, N
P, N, 544, T
Q, N, 570, T
P, N, 506, N
W, T, 407, N
L, N, 517, N
R, N, 405, N
T, N, 432, N
N, N, 548, N
F, N, 532, N
S, N, 531, N
W, N, 461, N
K, N, 404, N
L, N, 519, N
T, N, 510, N
R, N, 528, N
V, N, 615, N
D, N, 510, N
P, N, 582, N
C, N, 544, N
V, T, 412, N
