T, N, 0, 0
C, N, 1788, T
X, N, 1032, T
Z, N, 1288, N
V, N, 661, N
F, N, 943, N
D, N, 659, N
V, T, 611, N
K, N, 925, N
D, T, 700, T
V, T, 1022, T
R, N, 645, N
D, T, 693, T
P, N, 948, N
J, N, 805, T
C, N, 578, N
P, T, 595, T
K, N, 897, T
F, N, 815, N
N, N, 793, N
Z, N, 763, N
F, T, 1315, T
M, N, 500, N
V, N, 525, N
F, T, 504, T
M, T, 519, N
C, N, 893, T
K, N, 851, T
M, T, 777, N
C, T, 614, T
S, N, 871, N
Y, N, 729, N
C, T, 538, T
T, N, 593, N
F, N, 981, N
J, N, 879, T
T, T, 994, T
F, T, 502, N
C, N, 603, T
T, T, 810, T
F, T, 531, N
B, N, 993, N
F, N, 675, T
F, T, 1081, N
B, T, 756, N
D, N, 741, N
K, N, 872, N
B, T, 847, T
